src_ip,dst_ip,src_port,dst_port,protocol,bidirectional_packets,bidirectional_first_seen_ms,ground_truth,predicted,gt_bin,pred_bin
10.3.1.214,10.3.2.38,37158,80,6,10,1787884345406,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,37166,80,6,10,1787884346414,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,37178,80,6,10,1787884347421,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,37190,80,6,10,1787884348429,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,37202,80,6,10,1787884349436,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,52382,80,6,10,1787884350443,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,52390,80,6,10,1787884351450,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,52394,80,6,10,1787884352458,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,52402,80,6,10,1787884353465,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,52414,80,6,10,1787884354472,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,52428,80,6,10,1787884355480,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,52440,80,6,10,1787884356487,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,52456,80,6,10,1787884357494,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,52460,80,6,10,1787884358501,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,52468,80,6,10,1787884359508,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,33846,80,6,10,1787884360516,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,33848,80,6,10,1787884361523,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,33860,80,6,10,1787884362530,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,33872,80,6,10,1787884363537,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,33876,80,6,10,1787884364544,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,33886,80,6,10,1787884365552,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,33894,80,6,10,1787884366559,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,33896,80,6,10,1787884367566,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,33912,80,6,10,1787884368573,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,33924,80,6,10,1787884369581,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,54170,80,6,10,1787884370588,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,54178,80,6,10,1787884371596,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,54188,80,6,10,1787884372603,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,54192,80,6,10,1787884373611,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,54200,80,6,10,1787884374618,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,54210,80,6,10,1787884375625,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,54222,80,6,10,1787884376633,Benign,DoS attacks-GoldenEye,0,1
10.3.1.214,10.3.2.38,54232,80,6,10,1787884377640,Benign,DoS attacks-GoldenEye,0,1
