file,type,algo,size_before,size_after,compression_ratio,storage_saving_pct,time_s,selected
app_01.log,log,gzip,576266,67366,0.1169,88.31,0.0101,False
app_01.log,log,zstd,576266,72664,0.1261,87.39,0.0018,False
app_01.log,log,brotli,576266,62918,0.1092,89.08,0.0122,False
app_01.log,log,lz4,576266,132540,0.23,77.0,0.0008,False
app_01.log,log,snappy,576266,115820,0.201,79.9,0.0007,True
app_02.log,log,gzip,1073777,124491,0.1159,88.41,0.0206,False
app_02.log,log,zstd,1073777,134854,0.1256,87.44,0.0066,False
app_02.log,log,brotli,1073777,115460,0.1075,89.25,0.0266,False
app_02.log,log,lz4,1073777,245913,0.229,77.1,0.002,False
app_02.log,log,snappy,1073777,215310,0.2005,79.95,0.0015,True
app_03.log,log,gzip,4245156,486851,0.1147,88.53,0.0814,False
app_03.log,log,zstd,4245156,530071,0.1249,87.51,0.0157,False
app_03.log,log,brotli,4245156,447215,0.1053,89.47,0.1158,False
app_03.log,log,lz4,4245156,964923,0.2273,77.27,0.006,False
app_03.log,log,snappy,4245156,845408,0.1991,80.09,0.007,True
app_04.log,log,gzip,8423605,964125,0.1145,88.55,0.156,False
app_04.log,log,zstd,8423605,1051037,0.1248,87.52,0.032,False
app_04.log,log,brotli,8423605,882190,0.1047,89.53,0.2564,False
app_04.log,log,lz4,8423605,1911009,0.2269,77.31,0.0118,False
app_04.log,log,snappy,8423605,1675018,0.1988,80.12,0.0121,True
audit_01.log,log,gzip,12648235,1444028,0.1142,88.58,0.2236,False
audit_01.log,log,zstd,12648235,1572220,0.1243,87.57,0.0505,False
audit_01.log,log,brotli,12648235,1316073,0.1041,89.59,0.3462,False
audit_01.log,log,lz4,12648235,2856549,0.2258,77.42,0.0165,False
audit_01.log,log,snappy,12648235,2504266,0.198,80.2,0.0158,True
audit_02.log,log,gzip,18900431,2155301,0.114,88.6,0.3382,False
audit_02.log,log,zstd,18900431,2344535,0.124,87.6,0.0769,False
audit_02.log,log,brotli,18900431,1959534,0.1037,89.63,0.5476,False
audit_02.log,log,lz4,18900431,4258091,0.2253,77.47,0.0283,False
audit_02.log,log,snappy,18900431,3732309,0.1975,80.25,0.0257,True
audit_03.log,log,gzip,29382638,3345781,0.1139,88.61,0.5308,False
audit_03.log,log,zstd,29382638,3636400,0.1238,87.62,0.1157,False
audit_03.log,log,brotli,29382638,3039274,0.1034,89.66,0.8093,False
audit_03.log,log,lz4,29382638,6603743,0.2247,77.53,0.0404,False
audit_03.log,log,snappy,29382638,5791279,0.1971,80.29,0.0384,True
img_01.jpg,jpg,gzip,580335,579521,0.9986,0.14,0.0276,False
img_01.jpg,jpg,zstd,580335,580359,1.0,-0.0,0.0011,False
img_01.jpg,jpg,brotli,580335,580340,1.0,-0.0,0.0034,False
img_01.jpg,jpg,lz4,580335,580390,1.0001,-0.01,0.0003,False
img_01.jpg,jpg,snappy,580335,580204,0.9998,0.02,0.0004,True
img_02.jpg,jpg,gzip,579758,578994,0.9987,0.13,0.0257,False
img_02.jpg,jpg,zstd,579758,579782,1.0,-0.0,0.0011,False
img_02.jpg,jpg,brotli,579758,579763,1.0,-0.0,0.0038,False
img_02.jpg,jpg,lz4,579758,579813,1.0001,-0.01,0.0004,False
img_02.jpg,jpg,snappy,579758,579627,0.9998,0.02,0.0005,True
img_03.jpg,jpg,gzip,579972,579208,0.9987,0.13,0.0273,False
img_03.jpg,jpg,zstd,579972,579996,1.0,-0.0,0.0009,False
img_03.jpg,jpg,brotli,579972,579977,1.0,-0.0,0.0079,False
img_03.jpg,jpg,lz4,579972,580027,1.0001,-0.01,0.0021,False
img_03.jpg,jpg,snappy,579972,579841,0.9998,0.02,0.0003,True
img_04.jpg,jpg,gzip,580005,579200,0.9986,0.14,0.0281,False
img_04.jpg,jpg,zstd,580005,580029,1.0,-0.0,0.0011,False
img_04.jpg,jpg,brotli,580005,580010,1.0,-0.0,0.0033,False
img_04.jpg,jpg,lz4,580005,580060,1.0001,-0.01,0.0006,False
img_04.jpg,jpg,snappy,580005,579874,0.9998,0.02,0.0002,True
img_05.jpg,jpg,gzip,579888,579029,0.9985,0.15,0.0249,False
img_05.jpg,jpg,zstd,579888,579912,1.0,-0.0,0.0007,False
img_05.jpg,jpg,brotli,579888,579893,1.0,-0.0,0.0028,False
img_05.jpg,jpg,lz4,579888,579943,1.0001,-0.01,0.0004,False
